Percent mass remaining in Litterbags ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent nitrogen mass remaining in litterbags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent phosphorus mass remaining in litterbags ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent Mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,Litter type,Block,Plot,Position,Months,Percent N mass remaining,,,,LitterType,Block,Plot,Position ,Months,Percent P mass remaining,,,,LitterType,Block,Plot,Position ,Months,Percent P mass remaining,,,,Litter Type,Block,Plot,Position ,Months,Percent P remaining,,,,Litter Type,Block,Plot,Position ,Months,Percent P remaining,,,,Litter type,Block,Plot,Position,Months,Percent P mass remaining,,,,Litter type,,Block,Plot,Position,Months,,Percent P mass remaining
turkey oak,A,9,Buried,6,47.03,,,,turkey oak,A,9,Surface,6,94.6,,,,pine,A,9,Buried,6,76.73,,,,pine,A,8,Surface,6,95.25,,,,Mixed,A,10,Buried,6,64.8,,,,Mixed,A,9,Surface,6,78.99,,,,turkey oak,A,9,Buried,6,57.42,,,,turkey oak,A,9,Surface,6,95.42,,,,pine,A,9,Buried,6,134,,,,pine,A,8,Surface,6,111.8,,,,Mixed,A,10,Buried,6,75.43,,,,Mixed,A,9,Surface,6,79.07,,,,turkey oak,A,9,Buried,6,58,,,,turkey oak,A,10,Surface,6,54.06,,,,pine,A,9,Buried,6,90.68,,,,pine,A,10,Surface,6,213.73,,,,Mixed,A,10,Buried,6,86.3,,,,Mixed,,A,11,Surface,6,,37.25
turkey oak,A,10,Buried,6,83.94,,,,turkey oak,A,10,Surface,6,89.84,,,,pine,A,10,Buried,6,80.5,,,,pine,A,9,Surface,6,95.12,,,,Mixed,A,10,Buried,6,69.84,,,,Mixed,A,10,Surface,6,83.12,,,,turkey oak,A,10,Buried,6,86.94,,,,turkey oak,A,10,Surface,6,95.54,,,,pine,A,10,Buried,6,87.37,,,,pine,A,9,Surface,6,98.1,,,,Mixed,A,10,Buried,6,91.92,,,,Mixed,A,10,Surface,6,90.26,,,,turkey oak,A,10,Buried,6,31.76,,,,turkey oak,A,11,Surface,6,30.69,,,,pine,A,10,Buried,6,44.25,,,,,,,,,,,,,Mixed,A,11,Buried,6,70.15,,,,,,,,,,,
turkey oak,A,10,Buried,6,95.28,,,,turkey oak,A,10,Surface,6,90.11,,,,pine,A,10,Buried,6,81.13,,,,pine,A,10,Surface,6,89.13,,,,Mixed,A,11,Buried,6,72.1,,,,Mixed,A,10,Surface,6,84.08,,,,turkey oak,A,10,Buried,6,97.55,,,,turkey oak,A,10,Surface,6,100.8,,,,pine,A,10,Buried,6,119.26,,,,pine,A,10,Surface,6,84.56,,,,Mixed,A,11,Buried,6,103.19,,,,Mixed,A,10,Surface,6,92.23,,,,turkey oak,A,10,Buried,6,50.36,,,,,,,,,,,,,pine,A,10,Buried,6,278.08,,,,pine,B,2,Surface,6,65.03,,,,,,,,,,,,,Mixed,,B,1,Surface,6,,48.71
,,,,,,,,,turkey oak,A,11,Surface,6,92.06,,,,pine,A,11,Buried,6,80.21,,,,pine,A,10,Surface,6,94.04,,,,,,,,,,,,,Mixed,A,11,Surface,6,80.53,,,,,,,,,,,,,turkey oak,A,11,Surface,6,107.77,,,,pine,A,11,Buried,6,96.21,,,,pine,A,10,Surface,6,108.78,,,,,,,,,,,,,Mixed,A,11,Surface,6,72.7,,,,,,,,,,,,,turkey oak,B,1,Surface,6,76.12,,,,pine,A,11,Buried,6,21.88,,,,pine,B,3,Surface,6,99.29,,,,Mixed,B,1,Buried,6,48.92,,,,Mixed,,B,2,Surface,6,,50.6
turkey oak,B,1,Buried,6,92.33,,,,,,,,,,,,,,,,,,,,,,pine,A,11,Surface,6,89.7,,,,Mixed,B,1,Buried,6,57.25,,,,,,,,,,,,,turkey oak,B,1,Buried,6,92.59,,,,,,,,,,,,,,,,,,,,,,pine,A,11,Surface,6,84.08,,,,Mixed,B,1,Buried,6,54,,,,,,,,,,,,,turkey oak,B,2,Buried,6,49.36,,,,turkey oak,B,6,Surface,6,41.24,,,,,,,,,,,,,pine,B,5,Surface,6,63.83,,,,Mixed,B,2,Buried,6,55.04,,,,Mixed,,B,3,Surface,6,,66.38
turkey oak,B,2,Buried,6,70.51,,,,turkey oak,B,1,Surface,6,87.83,,,,pine,B,1,Buried,6,81.8,,,,,,,,,,,,,Mixed,B,2,Buried,6,69.46,,,,Mixed,B,1,Surface,6,81.93,,,,turkey oak,B,2,Buried,6,97.93,,,,turkey oak,B,1,Surface,6,115.3,,,,pine,B,1,Buried,6,107.66,,,,,,,,,,,,,Mixed,B,2,Buried,6,69.95,,,,Mixed,B,1,Surface,6,115.78,,,,turkey oak,B,3,Buried,6,66.12,,,,turkey oak,B,7,Surface,6,35.59,,,,pine,B,1,Buried,6,59.49,,,,pine,B,7,Surface,6,62.83,,,,Mixed,B,3,Buried,6,54.17,,,,Mixed,,B,5,Surface,6,,153.23
turkey oak,B,3,Buried,6,73.47,,,,turkey oak,B,2,Surface,6,89.93,,,,pine,B,2,Buried,6,80.84,,,,pine,B,1,Surface,6,88.07,,,,Mixed,B,3,Buried,6,77.16,,,,Mixed,B,2,Surface,6,78.3,,,,turkey oak,B,3,Buried,6,101.08,,,,turkey oak,B,2,Surface,6,108,,,,pine,B,2,Buried,6,105.48,,,,pine,B,1,Surface,6,130.72,,,,Mixed,B,3,Buried,6,133.67,,,,Mixed,B,2,Surface,6,90.24,,,,turkey oak,B,4,Buried,6,33.33,,,,turkey oak,B,11,Surface,6,57.46,,,,pine,B,2,Buried,6,286.61,,,,pine,B,8,Surface,6,52.35,,,,Mixed,B,4,Buried,6,48.47,,,,Mixed,,B,6,Surface,6,,80.26
turkey oak,B,4,Buried,6,83.33,,,,turkey oak,B,3,Surface,6,92.39,,,,pine,B,3,Buried,6,77.58,,,,pine,B,2,Surface,6,89.42,,,,Mixed,B,4,Buried,6,71.32,,,,Mixed,B,3,Surface,6,89.67,,,,turkey oak,B,4,Buried,6,127.33,,,,turkey oak,B,3,Surface,6,101.01,,,,pine,B,3,Buried,6,95.04,,,,pine,B,2,Surface,6,95.02,,,,Mixed,B,4,Buried,6,123,,,,Mixed,B,3,Surface,6,100.11,,,,turkey oak,B,5,Buried,6,25.86,,,,turkey oak,B,12,Surface,6,78.82,,,,pine,B,3,Buried,6,56.42,,,,pine,B,10,Surface,6,66.3,,,,Mixed,B,5,Buried,6,79.46,,,,Mixed,,B,7,Surface,6,,94.88
turkey oak,B,5,Buried,6,55.41,,,,turkey oak,B,4,Surface,6,88.63,,,,pine,B,4,Buried,6,77.13,,,,pine,B,3,Surface,6,91.02,,,,Mixed,B,5,Buried,6,69.48,,,,Mixed,B,4,Surface,6,80.75,,,,turkey oak,B,5,Buried,6,74.17,,,,turkey oak,B,4,Surface,6,95.25,,,,pine,B,4,Buried,6,130.75,,,,pine,B,3,Surface,6,99.84,,,,Mixed,B,5,Buried,6,73.12,,,,Mixed,B,4,Surface,6,92.69,,,,turkey oak,B,6,Buried,6,53.56,,,,,,,,,,,,,pine,B,4,Buried,6,42.07,,,,pine,B,11,Surface,6,66.25,,,,Mixed,B,6,Buried,6,61.79,,,,Mixed,,B,8,Surface,6,,89.41
turkey oak,B,6,Buried,6,43.42,,,,turkey oak,B,5,Surface,6,92.78,,,,pine,B,5,Buried,6,74.57,,,,pine,B,4,Surface,6,89.37,,,,Mixed,B,6,Buried,6,63.48,,,,Mixed,B,5,Surface,6,81.7,,,,turkey oak,B,6,Buried,6,64.92,,,,turkey oak,B,5,Surface,6,101.57,,,,pine,B,5,Buried,6,118.75,,,,pine,B,4,Surface,6,143.86,,,,Mixed,B,6,Buried,6,100.71,,,,Mixed,B,5,Surface,6,66.62,,,,turkey oak,B,7,Buried,6,62.73,,,,turkey oak,C,1,Surface,6,58.91,,,,pine,B,5,Buried,6,111.85,,,,pine,B,11,Surface,6,98.65,,,,Mixed,B,7,Buried,6,53.01,,,,Mixed,,B,11,Surface,6,,47.3
turkey oak,B,7,Buried,6,72.38,,,,turkey oak,B,6,Surface,6,95.18,,,,pine,B,6,Buried,6,83.72,,,,pine,B,5,Surface,6,87.76,,,,Mixed,B,7,Buried,6,61.65,,,,Mixed,B,6,Surface,6,83.53,,,,turkey oak,B,7,Buried,6,84.74,,,,turkey oak,B,6,Surface,6,125.76,,,,pine,B,6,Buried,6,118.07,,,,pine,B,5,Surface,6,106.51,,,,Mixed,B,7,Buried,6,63.68,,,,Mixed,B,6,Surface,6,127.12,,,,turkey oak,B,10,Buried,6,40.2,,,,turkey oak,C,2,Surface,6,29.47,,,,pine,B,6,Buried,6,45.67,,,,pine,B,12,Surface,6,69.56,,,,Mixed,B,8,Buried,6,44.33,,,,Mixed,,B,11,Surface,6,,89.76
turkey oak,B,8,Buried,6,73.33,,,,turkey oak,B,7,Surface,6,88.98,,,,pine,B,7,Buried,6,83.75,,,,pine,B,6,Surface,6,91.53,,,,Mixed,B,8,Buried,6,80.51,,,,Mixed,B,7,Surface,6,86.69,,,,turkey oak,B,8,Buried,6,108.15,,,,turkey oak,B,7,Surface,6,109.79,,,,pine,B,7,Buried,6,127.89,,,,pine,B,6,Surface,6,128.82,,,,Mixed,B,8,Buried,6,112.63,,,,Mixed,B,7,Surface,6,67.03,,,,turkey oak,B,11,Buried,6,85.89,,,,turkey oak,C,3,Surface,6,48.92,,,,pine,B,7,Buried,6,53.3,,,,,,,,,,,,,Mixed,B,11,Buried,6,45.29,,,,Mixed,,B,12,Surface,6,,64.21
turkey oak,B,10,Buried,6,92.78,,,,turkey oak,B,8,Surface,6,92.16,,,,pine,B,8,Buried,6,85.69,,,,pine,B,7,Surface,6,86.39,,,,Mixed,B,10,Buried,6,84.31,,,,Mixed,B,8,Surface,6,81.32,,,,turkey oak,B,10,Buried,6,137.24,,,,turkey oak,B,8,Surface,6,109.87,,,,pine,B,8,Buried,6,139.64,,,,pine,B,7,Surface,6,93.28,,,,Mixed,B,10,Buried,6,102.5,,,,Mixed,B,8,Surface,6,77,,,,turkey oak,B,12,Buried,6,76.42,,,,turkey oak,C,4,Surface,6,103.49,,,,pine,B,10,Buried,6,32.91,,,,pine,C,1,Surface,6,42.16,,,,Mixed,B,11,Buried,6,58.23,,,,,,,,,,,
turkey oak,B,11,Buried,6,90.41,,,,turkey oak,B,10,Surface,6,87.64,,,,pine,B,10,Buried,6,90.49,,,,pine,B,8,Surface,6,95.97,,,,Mixed,B,11,Buried,6,71.87,,,,Mixed,B,10,Surface,6,82.35,,,,turkey oak,B,11,Buried,6,104.68,,,,turkey oak,B,10,Surface,6,120.58,,,,pine,B,10,Buried,6,98.22,,,,pine,B,8,Surface,6,133.15,,,,Mixed,B,11,Buried,6,61.66,,,,Mixed,B,10,Surface,6,96.04,,,,,,,,,,,,,turkey oak,C,4,Surface,6,108.63,,,,pine,B,11,Buried,6,58.45,,,,pine,C,2,Surface,6,72.02,,,,Mixed,B,12,Buried,6,45.51,,,,Mixed,,C,2,Surface,6,,47.18
turkey oak,B,11,Buried,6,95.43,,,,turkey oak,B,11,Surface,6,88.8,,,,pine,B,11,Buried,6,79.35,,,,pine,B,10,Surface,6,91.17,,,,Mixed,B,11,Buried,6,79.42,,,,Mixed,B,11,Surface,6,76.89,,,,turkey oak,B,11,Buried,6,106.52,,,,turkey oak,B,11,Surface,6,106.62,,,,pine,B,11,Buried,6,94.95,,,,pine,B,10,Surface,6,99.22,,,,Mixed,B,11,Buried,6,91.15,,,,Mixed,B,11,Surface,6,98.07,,,,turkey oak,C,1,Buried,6,169.05,,,,turkey oak,C,6,Surface,6,58.72,,,,pine,B,11,Buried,6,129.85,,,,pine,C,3,Surface,6,93.37,,,,,,,,,,,,,Mixed,,C,3,Surface,6,,48.84
turkey oak,B,12,Buried,6,88.18,,,,turkey oak,B,11,Surface,6,95.76,,,,pine,B,11,Buried,6,80.37,,,,pine,B,11,Surface,6,90.43,,,,Mixed,B,12,Buried,6,76.6,,,,Mixed,B,11,Surface,6,80.51,,,,turkey oak,B,12,Buried,6,103.61,,,,turkey oak,B,11,Surface,6,121.03,,,,pine,B,11,Buried,6,96.86,,,,pine,B,11,Surface,6,103.56,,,,Mixed,B,12,Buried,6,98.28,,,,Mixed,B,11,Surface,6,100.04,,,,turkey oak,C,2,Buried,6,63.35,,,,turkey oak,C,6,Surface,6,148.38,,,,,,,,,,,,,pine,C,4,Surface,6,64.11,,,,Mixed,C,1,Buried,6,74.91,,,,Mixed,,C,4,Surface,6,,227.76
,,,,,,,,,turkey oak,B,12,Surface,6,90.94,,,,pine,B,12,Buried,6,88.71,,,,pine,B,11,Surface,6,91.1,,,,,,,,,,,,,Mixed,B,12,Surface,6,85.58,,,,,,,,,,,,,turkey oak,B,12,Surface,6,106.73,,,,pine,B,12,Buried,6,136.73,,,,pine,B,11,Surface,6,107.43,,,,,,,,,,,,,Mixed,B,12,Surface,6,83.96,,,,turkey oak,C,3,Buried,6,65.77,,,,turkey oak,C,7,Surface,6,75.54,,,,pine,C,1,Buried,6,291.38,,,,pine,C,4,Surface,6,72.15,,,,Mixed,C,2,Buried,6,79.96,,,,Mixed,,C,6,Surface,6,,77.69
turkey oak,C,1,Buried,6,88.97,,,,,,,,,,,,,,,,,,,,,,pine,B,12,Surface,6,72.88,,,,Mixed,C,1,Buried,6,66.5,,,,,,,,,,,,,turkey oak,C,1,Buried,6,119.48,,,,,,,,,,,,,,,,,,,,,,pine,B,12,Surface,6,145.96,,,,Mixed,C,1,Buried,6,110.47,,,,,,,,,,,,,turkey oak,C,4,Buried,6,53.18,,,,turkey oak,C,8,Surface,6,77.59,,,,pine,C,2,Buried,6,87.59,,,,pine,C,4,Surface,6,286.48,,,,Mixed,C,3,Buried,6,137.43,,,,Mixed,,C,8,Surface,6,,100.82
turkey oak,C,2,Buried,6,76.02,,,,turkey oak,C,1,Surface,6,93.01,,,,pine,C,1,Buried,6,82.18,,,,,,,,,,,,,Mixed,C,2,Buried,6,68.87,,,,Mixed,C,2,Surface,6,78.52,,,,turkey oak,C,2,Buried,6,117.9,,,,turkey oak,C,1,Surface,6,103.02,,,,pine,C,1,Buried,6,124.33,,,,,,,,,,,,,Mixed,C,2,Buried,6,110.84,,,,Mixed,C,2,Surface,6,96.69,,,,turkey oak,C,7,Buried,6,70.87,,,,turkey oak,C,9,Surface,6,138.44,,,,pine,C,3,Buried,6,90.24,,,,pine,C,7,Surface,6,60.43,,,,Mixed,C,4,Buried,6,30.23,,,,Mixed,,C,9,Surface,6,,34.69
turkey oak,C,3,Buried,6,59.79,,,,turkey oak,C,2,Surface,6,88.4,,,,pine,C,2,Buried,6,74.11,,,,pine,C,1,Surface,6,92.75,,,,Mixed,C,3,Buried,6,62.6,,,,Mixed,C,3,Surface,6,81.5,,,,turkey oak,C,3,Buried,6,80.47,,,,turkey oak,C,2,Surface,6,103.49,,,,pine,C,2,Buried,6,123.31,,,,pine,C,1,Surface,6,109.93,,,,Mixed,C,3,Buried,6,73.43,,,,Mixed,C,3,Surface,6,95.15,,,,turkey oak,C,8,Buried,6,50.79,,,,turkey oak,C,10,Surface,6,54.1,,,,pine,C,4,Buried,6,260.95,,,,pine,C,8,Surface,6,74.15,,,,Mixed,C,6,Buried,6,32.59,,,,Mixed,,C,10,Surface,6,,120.82
turkey oak,C,4,Buried,6,83.97,,,,turkey oak,C,3,Surface,6,91.72,,,,pine,C,3,Buried,6,82.72,,,,pine,C,2,Surface,6,93.2,,,,Mixed,C,4,Buried,6,73.67,,,,Mixed,C,4,Surface,6,79.91,,,,turkey oak,C,4,Buried,6,98.9,,,,turkey oak,C,3,Surface,6,105.8,,,,pine,C,3,Buried,6,98.51,,,,pine,C,2,Surface,6,118.16,,,,Mixed,C,4,Buried,6,93.9,,,,Mixed,C,4,Surface,6,86.48,,,,turkey oak,C,10,Buried,6,67.89,,,,turkey oak,C,11,Surface,6,59.62,,,,pine,C,6,Buried,6,45.27,,,,pine,C,9,Surface,6,61.99,,,,Mixed,C,7,Buried,6,55.63,,,,,,,,,,,
turkey oak,C,7,Buried,6,85.05,,,,turkey oak,C,4,Surface,6,88.71,,,,pine,C,4,Buried,6,83.2,,,,pine,C,3,Surface,6,85.59,,,,Mixed,C,4,Buried,6,82.04,,,,Mixed,C,4,Surface,6,85.69,,,,turkey oak,C,7,Buried,6,104.45,,,,turkey oak,C,4,Surface,6,93.51,,,,pine,C,4,Buried,6,111.88,,,,pine,C,3,Surface,6,102.42,,,,Mixed,C,4,Buried,6,99.88,,,,Mixed,C,4,Surface,6,101.77,,,,turkey oak,C,11,Buried,6,104.16,,,,turkey oak,C,12,Surface,6,45.85,,,,pine,C,7,Buried,6,100.1,,,,pine,C,11,Surface,6,42.76,,,,Mixed,C,9,Buried,6,100.13,,,,,,,,,,,
turkey oak,C,8,Buried,6,63.48,,,,turkey oak,C,4,Surface,6,90.52,,,,pine,C,6,Buried,6,82.99,,,,pine,C,4,Surface,6,93.37,,,,Mixed,C,6,Buried,6,79.16,,,,Mixed,C,6,Surface,6,85.02,,,,turkey oak,C,8,Buried,6,80.61,,,,turkey oak,C,4,Surface,6,114.42,,,,pine,C,6,Buried,6,113.02,,,,pine,C,4,Surface,6,103.14,,,,Mixed,C,6,Buried,6,86.51,,,,Mixed,C,6,Surface,6,100.52,,,,turkey oak,C,12,Buried,6,41.4,,,,,,,,,,,,,pine,C,8,Buried,6,90.18,,,,pine,C,12,Surface,6,61.28,,,,Mixed,C,10,Buried,6,65.21,,,,Mixed,,A,1,Surface,12,,47.53
